source	translation	status	category	patchable_occurrences	reasons	files	sample_context
"Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.

If available, Expert, Master and Grandmaster is learned at skill 6-12-20.

Mastery increase its mana efficience.
"	"마나 방패는 공격을 받아 생명력이 일정 기준 아래로 내려가려 할 때 마나를 소모하여 피해를 줄입니다.

가능한 경우 전문가, 마스터, 그랜드마스터 단계는 기술 레벨 6-12-20에서 습득합니다.

숙련도가 높을수록 마나 효율이 증가합니다.
"	translated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"local txt=""Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n\nMastery increase its mana efficience.\n"" .. ""Current Damage reduction per Mana: "" .. StrColor(178,255,255, efficiency) .. ""\n\nPress M to enable/disable"""
"Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.

If available, Expert, Master and Grandmaster is learned at skill 8-20-32.

Mastery increase its mana efficience.
"	"마나 방패는 공격을 받아 생명력이 일정 기준 아래로 내려가려 할 때 마나를 소모하여 피해를 줄입니다.

가능한 경우 전문가, 마스터, 그랜드마스터 단계는 기술 레벨 8-20-32에서 습득합니다.

숙련도가 높을수록 마나 효율이 증가합니다.
"	translated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"txt=""Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 8-20-32.\n\nMastery increase its mana efficience.\n"" .. ""Current Damage reduction per Mana: "" .. StrColor(178,255,255, efficiency) .. ""\n\nPress M to enable/disable"""
"

Can't learn"	"

습득 불가"	translated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"local txt=StrColor(255,0,0,""\n\nCan't learn"")"
"

Not Learned"	"

미습득"	translated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"txt=StrColor(255,0,0,""\n\nNot Learned"")"
"
Active ("	"
활성 ("	translated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"txt=StrColor(0,255,0,""\nActive ("" .. Party[j].Name .. "")"")"
"
Active("	"
활성("	translated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"txt=StrColor(0,255,0,""\nActive("" .. Party[j].Name .. "")"")"
"
Not Active"	"
비활성"	translated	spell	2	formatted_colored_text:2	Scripts/General/zzMaw-Spells.lua	"local txt=StrColor(255,0,0,""\nNot Active"")"
 Hit Points	 생명력	translated	spell	3	formatted_colored_text:2; status_text_call:1	Scripts/General/zzAlchemy.lua; Scripts/General/zzzOnlineVariableSender.lua	"t.Description=StrColor(255,255,153,""Heals "" .. round(t.Item.Bonus^1.75)+10 .. "" Hit Points"") .. ""\n"" .. t.Description"
"%s

Increases spell points based on SP per level and mastery

Current SP Regeneration: %s
Next Level Bonus: %s SP Regen
"	"%s

레벨당 주문력과 숙련도에 따라 주문력 재생이 증가합니다.

현재 주문력 재생: %s
다음 레벨 보너스: 주문력 재생 %s
"	translated	spell	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"txt= string.format(""%s\n\nIncreases spell points based on SP per level and mastery\n\nCurrent SP Regeneration: %s\nNext Level Bonus: %s SP Regen\n"",baseMedStr,StrColor(60,60,255,spRegen),StrColor(60,60,255,""+"" .. spRegen2))"
Asphyxiate	질식	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[76].Name=""Asphyxiate"""
Blood Leech	피 흡수	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[68].Name=""Blood Leech"""
Chain Lightning	연쇄 번개	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzMaw-Spells.lua	"Game.SpellsTxt[18].Name=""Chain Lightning"""
Death Breath	죽음의 숨결	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[97].Name=""Death Breath"""
Death Coil	죽음의 고리	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[90].Name=""Death Coil"""
Death Grasp	죽음의 손아귀	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[96].Name=""Death Grasp"""
Frostbite	동상	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[29].Name=""Frostbite"""
Ice Bomb	얼음 폭탄	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[32].Name=""Ice Bomb"""
Icy Touch	얼음의 손길	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[26].Name=""Icy Touch"""
"Melee Power: %s
Ranged Power: %s
Spell Power: %s"	"근접 위력: %s
원거리 위력: %s
주문 위력: %s"	translated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"local txt=string.format(""Melee Power: %s\nRanged Power: %s\nSpell Power: %s"",StrColor(255,0,0,DPS1),StrColor(200,200,0,DPS2),StrColor(50,50,220,DPS3))"
Normal	보통	translated	spell	1	settings_display_table:1	Scripts/General/MenuExtraSettings.lua	"gameMode={[0]=""Normal"", [2]=""Doom"", [4]=""Road to\ninsanity"",[6]=""Beyond\nMadness"",[8]="" Austerity"" }"
Superior Blood Leech	상급 피 흡수	translated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[74].Name=""Superior Blood Leech"""
  heals 	 → 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. ""  heals "" .. Party[t.TargetId].Name .. "" for "" .. healData[3] .. "" hit points(crit)""))"
 cover 	 → 엄호: 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(Party[coverPlayerIndex].Name .. "" cover "" .. Party[target].Name)"
 crafting items	개의 제작 재료	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. objCount .. "" crafting items"")"
 Exp, 	 경험치, 	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Map Completed! You gain "" .. experience .. "" Exp, "" .. gold .. "" Gold and a Crafting Material"")"
 filtered)	 필터됨)	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""You found "" .. itemGold+goldGained .. "" gold! ("" .. tierList[itemPower] .. "" "" .. Game.ItemsTxt[itemID].NotIdentifiedName .. "" filtered)"")"
 for 	: 회복량 	translated	status	8	status_text_call:8	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals "" .. Party[t.TargetId].Name .. "" for "" .. healData[1] .. "" hit points(crit)""))"
 Gold and a Crafting Material	 금화 및 제작 재료	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Map Completed! You gain "" .. experience .. "" Exp, "" .. gold .. "" Gold and a Crafting Material"")"
 gold! (	 금화! (	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""You found "" .. itemGold+goldGained .. "" gold! ("" .. tierList[itemPower] .. "" "" .. Game.ItemsTxt[itemID].NotIdentifiedName .. "" filtered)"")"
 heals 	 → 	translated	status	7	status_text_call:7	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals "" .. Party[t.TargetId].Name .. "" for "" .. healData[1] .. "" hit points(crit)""))"
 heals the party for 	: 파티 회복량 	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(name .. "" heals the party for "" .. shown .. "" hit points (crit)"")"
 heals you for 	: 회복량 	translated	status	9	status_text_call:9	Scripts/General/zzMaw-Spells.lua; Scripts/General/zzzOnlineVariableSender.lua	"Game.ShowStatusText(string.format(name .. "" heals you for "" .. healData[1] .. "" hit points(crit)""))"
 Hit points	 생명력	translated	status	6	status_text_call:6	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(""You Heal for "" .. round(totHeal) .. "" Hit points""))"
 hit points	 생명력	translated	status	10	status_text_call:10	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals you for "" .. healData[1] .. "" hit points""))"
 hit points (crit)	 생명력 (치명타)	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""You heal the party for "" .. tooltipHeal .. "" hit points (crit)"")"
 Hit points(crit)	 생명력 (치명타)	translated	status	6	status_text_call:6	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(""You Heal for "" .. round(totHeal) .. "" Hit points(crit)""))"
 hit points(crit)	 생명력 (치명타)	translated	status	8	status_text_call:8	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(name .. "" heals you for "" .. healData[1] .. "" hit points(crit)""))"
 monsters	마리의 몬스터	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. count .. "" monsters"")"
 monsters and 	마리의 몬스터와 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. count .. "" monsters and "" .. objCount .. "" crafting items"")"
 on attack activated	 공격 시 발동 활성화	translated	status	2	status_text_call:2	Scripts/General/zzClasses.lua	"Game.ShowStatusText(Game.SpellsTxt[t.Param].Name .. "" on attack activated"")"
 on attack disabled	 공격 시 발동 비활성화	translated	status	2	status_text_call:2	Scripts/General/zzClasses.lua	"Game.ShowStatusText(Game.SpellsTxt[t.Param].Name .. "" on attack disabled"")"
 required)	)	translated	status	2	status_text_call:2	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Your level is too low (Level "" .. levelRequired .. "" required)"")"
 will not be sorted with C	번은 C키 정렬에서 제외됩니다	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""Inventory number "" .. vars.mawbags[pl:GetIndex()].CurrentBag .. "" will not be sorted with C"""
 will now take alchemy items when sorting	 → 정렬 시 연금술 아이템 담당	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(Party[Game.CurrentPlayer].Name .. "" will now take alchemy items when sorting"")"
%s casts Charge stunning the enemy	%s의 돌진이 적을 기절시킵니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""%s casts Charge stunning the enemy"",Party[0].Name))"
%s created	%s 제작 완료	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(string.format(""%s created"", craftingNames[i+1]))"
%s's poison effect expired	%s: 독 효과가 끝났습니다	translated	status	3	status_text_call:3	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(string.format(""%s's poison effect expired"",Party[i].Name))"
's bags sorted	의 모든 가방	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""All "" .. name .. ""'s bags sorted"")"
(CRIT!)	(치명타!)	translated	status	1	formatted_colored_text:1	Scripts/Global/zzMAWStatusMsg.lua	"critMessage=StrColor(255,255,30,""(CRIT!)"")"
*Swap*	*교대*	translated	status	3	status_text_call:3	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""*Swap*"")"
+50 Fire Resistance temporary.	일시적으로 화염 저항 +50.	translated	status	1	status_text_call:1	Scripts/Maps/7out01.lua	"Game.ShowStatusText(""+50 Fire Resistance temporary."")          -- ""+50 Fire Resistance temporary."""
Access have been destroyed	접근로가 파괴되었습니다	translated	status	1	status_text_call:1	Scripts/Maps/outb3.lua	"Game.ShowStatusText(""Access have been destroyed"")"
All 	정렬 완료: 	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""All "" .. name .. ""'s bags sorted"")"
All buffs have been removed	모든 버프가 제거되었습니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""All buffs have been removed"")"
All inventories have been sorted	모든 인벤토리를 정렬했습니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""All inventories have been sorted"")"
All Party bags sorted	파티의 모든 가방을 정렬했습니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""All Party bags sorted"")"
Bow Disabled	활 사용 비활성화	translated	status	1	status_text_call:1	Scripts/General/zz_Maw-initialize.lua	"Game.ShowStatusText(""Bow Disabled"")"
Bow Enabled	활 사용 활성화	translated	status	1	status_text_call:1	Scripts/General/zz_Maw-initialize.lua	"Game.ShowStatusText(""Bow Enabled"")"
Buff Disabled	버프 비활성화	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""Buff Disabled"")"
Can't benefit anymore	더 이상 효과를 받을 수 없습니다	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Can't benefit anymore"")"
Can't teleport now	지금은 순간이동할 수 없습니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Can't teleport now"")"
Charge has %s seconds of cooldown	돌진 재사용 대기시간이 %s초 남았습니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""Charge has %s seconds of cooldown"",vars.chargeCooldown))"
Convert %s into %s? (U)	%s을(를) %s(으)로 변환하시겠습니까? (U)	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(string.format(""Convert %s into %s? (U)"",craftingNames[i], craftingNames[i+1]))"
Cover Disabled	엄호 비활성화	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Cover Disabled"")"
Cover Enabled	엄호 활성화	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Cover Enabled"")"
Current map data reset.	현재 맵 데이터를 초기화했습니다.	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Stats.lua	"Game.ShowStatusText(""Current map data reset."")"
Curse Immunity	저주 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Curse Immunity"")"
Disease Immunity	질병 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Disease Immunity"")"
Disintegrated	소멸됨	translated	status	1	status_text_call:1	Scripts/Global/zzMaw_Legendaries.lua	"Game.ShowStatusText(""Disintegrated"")"
Divine Protection saves you from lethal damage	신성한 보호가 치명적인 피해로부터 당신을 구했습니다	translated	status	1	status_text_call:1	Scripts/Global/zzMaw_Legendaries.lua	"Game.ShowStatusText(""Divine Protection saves you from lethal damage"")"
Dungeon Completed!	던전 완료!	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Dungeon Completed!"")"
"Dungeon Completed!
Reset is possible again."	"던전 완료!
이제 다시 초기화할 수 있습니다."	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Dungeon Completed!\nReset is possible again."")"
Elementalist Rotation Disabled	원소술사 로테이션 비활성화	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Elementalist Rotation Disabled"")"
Elementalist Rotation Enabled	원소술사 로테이션 활성화	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Elementalist Rotation Enabled"")"
Elementalists learn their spells through practice	원소술사는 실전을 통해 주문을 익힙니다	translated	status	1	status_text_call:1	Scripts/General/zzClasses.lua	"Game.ShowStatusText(""Elementalists learn their spells through practice"")"
empty	비어 있음	translated	status	1	status_text_call:1	Scripts/Maps/znwc.lua	"Game.ShowStatusText(""empty"")"
Enchantment protects %s from %s	마법 부여가 %s을(를) %s(으)로부터 보호합니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(string.format(""Enchantment protects %s from %s"", t.Player.Name, protectionType))"
Entering will reset the dungeon	입장하면 던전이 초기화됩니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Maps.lua	"Game.ShowStatusText(""Entering will reset the dungeon"")"
Fear Immunity	공포 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Fear Immunity"")"
Fly is allowed without restrictions here	이곳에서는 제한 없이 비행할 수 있습니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""Fly is allowed without restrictions here"")"
Forced Sleep Immunity	강제 수면 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Forced Sleep Immunity"")"
Gem power is not enough	보석의 힘이 부족합니다	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Gem power is not enough"")"
Goblin Reinforcements	고블린 증원군	translated	status	1	status_text_call:1	Scripts/Maps/7out02.lua	"Game.ShowStatusText(""Goblin Reinforcements"")"
Health Potion has %s seconds of cooldown remaining	생명력 물약 재사용 대기시간이 %s초 남았습니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""Health Potion has %s seconds of cooldown remaining"",vars.healthPotionCooldown))"
Health Potion heals for %s hit points	생명력 물약으로 생명력 %s 회복	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""Health Potion heals for %s hit points"",healAmount))"
Host saved the game.	호스트가 게임을 저장했습니다.	translated	status	1	status_text_call:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"Game.ShowStatusText(""Host saved the game."")"
In the night the deads rise	밤이 되면 망자들이 일어납니다	translated	status	1	status_text_call:1	Scripts/Maps/7out05.lua	"Game.ShowStatusText(""In the night the deads rise"")"
Insanity Immunity	광기 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Insanity Immunity"")"
Invalid Item	잘못된 아이템	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Invalid Item"")"
Inventory number 	인벤토리 	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""Inventory number "" .. vars.mawbags[pl:GetIndex()].CurrentBag .. "" will not be sorted with C"""
Inventory sorted	인벤토리를 정렬했습니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""Inventory sorted"")"
It's a trap!	함정이다!	translated	status	1	status_text_call:1	Scripts/Maps/7d21.lua	"Game.ShowStatusText(""It's a trap!"")"
It's an ambush!	매복이다!	translated	status	1	status_text_call:1	Scripts/Maps/7out02.lua	"Game.ShowStatusText(""It's an ambush!"")"
Item power reached its limit	아이템 위력이 한계에 도달했습니다	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Item power reached its limit"")"
Legendary power saves you from lethal damage	전설의 힘이 치명적인 피해로부터 당신을 구했습니다	translated	status	1	status_text_call:1	Scripts/Global/zzMaw_Legendaries.lua	"Game.ShowStatusText(""Legendary power saves you from lethal damage"")"
Loading now will count as death, are you sure to proceed?	지금 불러오면 사망으로 처리됩니다. 계속하시겠습니까?	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Loading now will count as death, are you sure to proceed?"")"
Madness is not a place for cowards	광기는 겁쟁이가 올 곳이 아닙니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""Madness is not a place for cowards"")"
Mana Potion has %s seconds of cooldown remaining	마나 물약 재사용 대기시간이 %s초 남았습니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""Mana Potion has %s seconds of cooldown remaining"",vars.manaPotionCooldown))"
Mana Potion restores %s mana	마나 물약으로 마나 %s 회복	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(string.format(""Mana Potion restores %s mana"",spAmount))"
Mana Shield Disabled	마나 방패 비활성화	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Mana Shield Disabled"")"
Mana Shield Enabled	마나 방패 활성화	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Mana Shield Enabled"")"
Map Completed! You gain 	맵 완료! 획득: 	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Map Completed! You gain "" .. experience .. "" Exp, "" .. gold .. "" Gold and a Crafting Material"")"
Map data reset, press Y to continue...	맵 데이터 초기화 완료. 계속하려면 Y를 누르세요...	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Stats.lua	"Game.ShowStatusText(""Map data reset, press Y to continue..."")"
Monsters are weakened and can no longer resurrect	몬스터들이 약화되어 더 이상 부활할 수 없습니다	translated	status	2	esc_message_call:1; status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Monsters are weakened and can no longer resurrect"")"
Monsters swarming...	몬스터들이 몰려옵니다...	translated	status	1	status_text_call:1	Scripts/Maps/7d24.lua	"Game.ShowStatusText(""Monsters swarming..."")"
No alchemy preference when sorting	정렬 시 연금술 우선 대상 없음	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Item-Sorter.lua	"Game.ShowStatusText(""No alchemy preference when sorting"")"
No enchants	마법 부여 없음	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""No enchants"")"
No gem to upgrade	업그레이드할 보석이 없습니다	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""No gem to upgrade"")"
Noises from the throne room	왕좌실에서 소리가 들려옵니다	translated	status	1	status_text_call:1	Scripts/Maps/7d29.lua	"Game.ShowStatusText(""Noises from the throne room"")"
Not enough disarm skill	함정 해제 기술이 부족합니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""Not enough disarm skill"")"
Not enough food	식량이 부족합니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Not enough food"")"
Not enough Hit Points	생명력이 부족합니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""Not enough Hit Points"")"
Not enough Mana	마나가 부족합니다	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""Not enough Mana"")"
Out of range	사정거리 밖입니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Out of range"")"
Paralysis Immunity	마비 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Paralysis Immunity"")"
Petrify Immunity	석화 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Petrify Immunity"")"
Player %s left the game.	플레이어 %s님이 게임을 떠났습니다.	translated	status	1	status_text_call:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"Game.ShowStatusText(string.format(""Player %s left the game."", client.name))"
Player must be active to consume the potion	물약을 마시려면 해당 캐릭터가 활성 상태여야 합니다	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Player must be active to consume the potion"")"
Poison Immunity	독 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Poison Immunity"")"
Press R to refresh new items (20000 gold)	새 아이템 갱신: R (20,000 금화)	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""Press R to refresh new items (20000 gold)"") --not working"
Queen Arrived!	여왕이 도착했습니다!	translated	status	1	status_text_call:1	Scripts/Maps/7d21.lua	"Game.ShowStatusText(""Queen Arrived!"")"
Refreshing!	갱신 중!	translated	status	1	status_text_call:1	Scripts/Maps/7out01.lua	"Game.ShowStatusText (""Refreshing!"")         -- ""Refreshing!"""
Repaired	수리 완료	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""Repaired"")"
Resistance Ignored	저항 무시	translated	status	1	status_text_call:1	Scripts/Global/zzMaw_Mapping.lua	"Game.ShowStatusText(""Resistance Ignored"")"
Shared Life heals for 	생명 공유 회복량: 	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(""Shared Life heals for "" .. round(totHeal) .. "" Hit points(crit)""))"
SUPREME UNLOCKED!!!	최상위 숙련 해금!!!	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""SUPREME UNLOCKED!!!"")"
Teleported 	순간이동: 	translated	status	3	status_text_call:3	Scripts/General/zzMaw-Monsters.lua	"Game.ShowStatusText(""Teleported "" .. count .. "" monsters"")"
The night is dark and full of terrors	밤은 어둡고 공포로 가득하다	translated	status	1	status_text_call:1	Scripts/Maps/7out05.lua	"Game.ShowStatusText(""The night is dark and full of terrors"")"
This potion has not enough power	이 물약의 위력이 부족합니다	translated	status	5	status_text_call:5	Scripts/General/zzAlchemy.lua; Scripts/Global/zzMAWPotions.lua	"Game.ShowStatusText(""This potion has not enough power"")"
This skill has reached its limit	이 기술은 한계에 도달했습니다	translated	status	3	status_text_call:3	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""This skill has reached its limit"")"
This skill is already as good as it will ever get	이 기술은 이미 최대치입니다	translated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""This skill is already as good as it will ever get"")"
Unconscious Immunity	의식불명 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Unconscious Immunity"")"
Weakness Immunity	쇠약 면역	translated	status	1	status_text_call:1	Scripts/General/zzAlchemy.lua	"Game.ShowStatusText(""Weakness Immunity"")"
You found 	획득: 	translated	status	1	status_text_call:1	Scripts/General/zzMaw-Items.lua	"Game.ShowStatusText(""You found "" .. itemGold+goldGained .. "" gold! ("" .. tierList[itemPower] .. "" "" .. Game.ItemsTxt[itemID].NotIdentifiedName .. "" filtered)"")"
You Heal for 	회복량: 	translated	status	10	status_text_call:10	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(string.format(""You Heal for "" .. round(totHeal) .. "" Hit points(crit)""))"
You heal the party for 	파티 회복량: 	translated	status	2	status_text_call:2	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(""You heal the party for "" .. tooltipHeal .. "" hit points (crit)"")"
YOU LEARNED RETALIATION!!	반격을 습득했습니다!!	translated	status	2	status_text_call:2	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""YOU LEARNED RETALIATION!!"")"
You must prove your worth first	먼저 자신의 가치를 증명해야 합니다	translated	status	1	status_text_call:1	Scripts/Maps/outb3.lua	"Game.ShowStatusText(""You must prove your worth first"")"
You need a key to teleport to Emerald Island.	에메랄드 섬으로 순간이동하려면 열쇠가 필요합니다.	translated	status	1	status_text_call:1	Scripts/Maps/7out02.lua	"Game.ShowStatusText(""You need a key to teleport to Emerald Island."")  -- ""You need a key to teleport to Emerald Island."""
